onset	duration	trial_type	response_time	response_accuracy	trial_no
0.1551	3.3477	angry_males	n/a	1	1
5.5648	3.359	happy_males	n/a	1	2
12.475	3.354	happy_females	n/a	1	3
19.38	3.355	happy_females	n/a	0	4
23.293	3.345	angry_males	n/a	1	5
28.693	3.349	angry_males	n/a	1	6
34.118	3.345	scrambled	n/a	0	7
39.014	3.353	angry_females	n/a	0	8
43.934	3.354	scrambled	n/a	0	9
50.34	3.353	neutral_females	n/a	0	10
57.246	3.352	happy_males	n/a	1	11
62.65	3.352	happy_males	n/a	0	12
66.554	3.352	happy_males	n/a	0	13
71.478	3.348	scrambled	n/a	1	14
75.881	3.349	angry_males	n/a	1	15
82.282	3.353	neutral_females	n/a	1	16
86.683	3.355	happy_females	n/a	1	17
91.089	3.353	neutral_females	n/a	0	18
96.497	3.349	angry_males	n/a	1	19
101.9	3.35	happy_females	n/a	0	20
107.31	3.34	angry_males	n/a	1	21
112.21	3.35	angry_females	n/a	1	22
117.61	3.35	angry_females	n/a	1	23
122.51	3.36	neutral_females	n/a	1	24
128.42	3.35	angry_females	n/a	1	25
134.82	3.36	angry_females	n/a	0	26
140.73	3.35	happy_females	1.17	0	27
145.65	3.35	scrambled	n/a	1	28
150.56	3.35	angry_males	n/a	1	29
157.47	3.36	scrambled	n/a	1	30
163.38	3.35	angry_males	n/a	0	31
167.28	3.36	neutral_females	n/a	1	32
172.19	3.35	happy_males	n/a	1	33
176.09	3.35	happy_males	n/a	1	34
182.5	3.35	neutral_females	n/a	0	35
188.43	3.36	scrambled	0.6742	0	36
192.34	3.35	neutral_females	n/a	0	37
199.24	3.35	angry_females	n/a	1	38
205.65	3.35	neutral_females	1.7666	0	39
210.05	3.35	neutral_females	n/a	0	40
215.96	3.35	neutral_females	n/a	0	41
220.86	3.35	happy_females	n/a	1	42
226.77	3.35	happy_males	n/a	1	43
230.67	3.35	neutral_females	n/a	0	44
235.57	3.35	angry_females	n/a	0	45
239.48	3.35	neutral_females	n/a	0	46
246.38	3.35	neutral_females	n/a	1	47
251.8	3.35	scrambled	n/a	1	48
258.21	3.35	angry_males	n/a	1	49
262.61	3.35	happy_males	n/a	1	50
269.52	3.35	angry_males	n/a	0	51
276.45	3.36	scrambled	n/a	0	52
280.37	3.36	scrambled	n/a	0	53
285.78	3.35	angry_males	n/a	0	54
290.68	3.35	happy_males	n/a	0	55
297.09	3.35	happy_females	n/a	0	56
300.99	3.35	angry_females	n/a	0	57
306.92	3.34	scrambled	n/a	0	58
313.82	3.35	happy_females	n/a	0	59
320.74	3.35	scrambled	n/a	1	60
325.65	3.35	neutral_females	n/a	1	61
331.56	3.36	scrambled	n/a	0	62
337.47	3.35	angry_males	n/a	1	63
342.37	3.36	neutral_females	n/a	0	64
347.78	3.35	happy_males	n/a	1	65
352.18	3.35	angry_females	n/a	0	66
356.59	3.35	angry_males	n/a	0	67
362.99	3.35	happy_females	n/a	1	68
367.89	3.36	angry_females	n/a	0	69
371.8	3.35	angry_males	n/a	1	70
376.22	3.35	scrambled	n/a	0	71
382.12	3.35	happy_males	n/a	0	72
388.53	3.35	happy_females	n/a	1	73
392.95	3.35	scrambled	n/a	0	74
398.35	3.35	angry_females	n/a	0	75
403.26	3.35	happy_males	n/a	1	76
407.66	3.35	happy_females	n/a	0	77
414.57	3.35	neutral_females	n/a	1	78
419.97	3.35	neutral_females	n/a	1	79
424.37	3.35	neutral_females	n/a	1	80
430.28	3.35	angry_males	n/a	1	81
435.69	3.34	angry_males	n/a	1	82
442.09	3.35	happy_males	n/a	1	83
446.0	3.34	angry_males	n/a	0	84
451.9	3.35	neutral_females	n/a	1	85
458.3	3.35	angry_males	n/a	0	86
462.7	3.35	angry_females	n/a	1	87
469.11	3.35	angry_females	n/a	1	88
475.04	3.34	scrambled	n/a	0	89
478.93	3.35	angry_females	n/a	0	90
484.34	3.35	angry_females	n/a	1	91
488.74	3.35	happy_females	n/a	1	92
492.65	3.34	happy_males	2.0986	0	93
499.07	3.35	scrambled	n/a	0	94
505.97	3.35	neutral_females	n/a	1	95
510.88	3.35	angry_females	n/a	1	96
514.78	3.35	angry_females	n/a	0	97
518.68	3.35	happy_females	n/a	0	98
525.59	3.35	happy_females	n/a	1	99
532.51	3.35	scrambled	n/a	0	100
538.91	3.35	angry_females	n/a	0	101
545.34	3.35	scrambled	n/a	1	102
552.24	3.35	neutral_females	n/a	1	103
558.14	3.36	happy_females	n/a	0	104
562.55	3.35	angry_females	n/a	0	105
566.95	3.35	happy_males	n/a	1	106
571.36	3.35	happy_males	n/a	0	107
577.26	3.35	happy_males	n/a	0	108
