onset	duration	trial_type	response_time	response_accuracy	trial_no
0.2378	3.3483	angry_males	n/a	1	1
5.6469	3.3602	happy_males	n/a	1	2
12.555	3.358	happy_females	n/a	1	3
19.461	3.357	happy_females	n/a	0	4
23.39	3.348	angry_males	n/a	1	5
28.792	3.35	angry_males	n/a	1	6
34.229	3.351	scrambled	n/a	0	7
39.145	3.355	angry_females	n/a	0	8
44.081	3.356	scrambled	n/a	0	9
50.488	3.354	neutral_females	n/a	0	10
57.393	3.354	happy_males	n/a	1	11
62.799	3.353	happy_males	n/a	0	12
66.717	3.355	happy_males	n/a	0	13
71.659	3.35	scrambled	n/a	1	14
76.078	3.351	angry_males	n/a	1	15
82.48	3.354	neutral_females	n/a	1	16
86.897	3.357	happy_females	n/a	1	17
91.32	3.355	neutral_females	n/a	0	18
96.729	3.351	angry_males	n/a	1	19
102.13	3.35	happy_females	n/a	0	20
107.54	3.35	angry_males	n/a	1	21
112.45	3.36	angry_females	n/a	1	22
117.86	3.35	angry_females	n/a	1	23
122.78	3.35	neutral_females	n/a	1	24
128.68	3.36	angry_females	n/a	1	25
135.09	3.35	angry_females	n/a	0	26
140.99	3.36	happy_females	n/a	0	27
145.93	3.35	scrambled	n/a	1	28
150.85	3.35	angry_males	n/a	1	29
157.77	3.36	scrambled	n/a	1	30
163.68	3.35	angry_males	n/a	0	31
167.6	3.35	neutral_females	n/a	1	32
172.5	3.36	happy_males	n/a	1	33
176.42	3.35	happy_males	n/a	1	34
182.83	3.35	neutral_females	n/a	0	35
188.75	3.35	scrambled	0.7338	0	36
192.67	3.35	neutral_females	n/a	0	37
199.57	3.36	angry_females	n/a	1	38
205.98	3.35	neutral_females	n/a	0	39
210.4	3.35	neutral_females	n/a	0	40
216.3	3.36	neutral_females	n/a	0	41
221.22	3.36	happy_females	n/a	1	42
227.13	3.35	happy_males	n/a	1	43
231.05	3.35	neutral_females	n/a	0	44
235.97	3.35	angry_females	n/a	0	45
239.89	3.35	neutral_females	n/a	0	46
246.79	3.36	neutral_females	n/a	1	47
252.22	3.35	scrambled	n/a	1	48
258.62	3.35	angry_males	n/a	1	49
263.04	3.35	happy_males	n/a	1	50
269.95	3.35	angry_males	n/a	0	51
276.87	3.35	scrambled	n/a	0	52
280.8	3.36	scrambled	n/a	0	53
286.21	3.35	angry_males	n/a	0	54
291.13	3.35	happy_males	n/a	0	55
297.53	3.36	happy_females	n/a	0	56
301.45	3.36	angry_females	n/a	0	57
307.38	3.35	scrambled	n/a	0	58
314.28	3.35	happy_females	n/a	0	59
321.2	3.36	scrambled	n/a	1	60
326.12	3.36	neutral_females	n/a	1	61
332.04	3.36	scrambled	n/a	0	62
337.95	3.35	angry_males	n/a	1	63
342.87	3.35	neutral_females	n/a	0	64
348.28	3.35	happy_males	n/a	1	65
352.69	3.36	angry_females	n/a	0	66
357.12	3.35	angry_males	n/a	0	67
363.52	3.35	happy_females	n/a	1	68
368.44	3.35	angry_females	n/a	0	69
372.36	3.35	angry_males	n/a	1	70
376.8	3.35	scrambled	n/a	0	71
382.7	3.35	happy_males	n/a	0	72
389.1	3.36	happy_females	n/a	1	73
393.54	3.36	scrambled	n/a	0	74
398.95	3.35	angry_females	n/a	0	75
403.87	3.35	happy_males	n/a	1	76
408.29	3.35	happy_females	n/a	0	77
415.19	3.36	neutral_females	n/a	1	78
420.6	3.35	neutral_females	n/a	1	79
425.02	3.35	neutral_females	n/a	1	80
430.93	3.35	angry_males	n/a	1	81
436.33	3.35	angry_males	n/a	1	82
442.73	3.35	happy_males	n/a	1	83
446.66	3.34	angry_males	n/a	0	84
452.56	3.35	neutral_females	n/a	1	85
458.97	3.34	angry_males	n/a	0	86
463.38	3.35	angry_females	n/a	1	87
469.79	3.35	angry_females	n/a	1	88
475.71	3.35	scrambled	n/a	0	89
479.63	3.35	angry_females	n/a	0	90
485.03	3.35	angry_females	n/a	1	91
489.45	3.35	happy_females	n/a	1	92
493.37	3.35	happy_males	n/a	0	93
499.8	3.35	scrambled	n/a	0	94
506.7	3.35	neutral_females	n/a	1	95
511.62	3.35	angry_females	n/a	1	96
515.54	3.35	angry_females	n/a	0	97
519.46	3.35	happy_females	n/a	0	98
526.36	3.36	happy_females	n/a	1	99
533.29	3.35	scrambled	n/a	0	100
539.69	3.35	angry_females	n/a	0	101
546.12	3.34	scrambled	n/a	1	102
553.02	3.35	neutral_females	n/a	1	103
558.92	3.36	happy_females	n/a	0	104
563.34	3.36	angry_females	n/a	0	105
567.76	3.36	happy_males	n/a	1	106
572.19	3.35	happy_males	n/a	0	107
578.09	3.35	happy_males	n/a	0	108
