onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0797	3.3575	scrambled	n/a	0	1
4.0127	3.3609	angry_females	n/a	1	2
9.4296	3.3484	angry_males	n/a	0	3
14.834	3.348	angry_males	n/a	1	4
20.234	3.352	angry_females	n/a	0	5
24.15	3.356	happy_females	n/a	0	6
30.556	3.354	happy_females	n/a	1	7
36.464	3.352	neutral_females	n/a	0	8
42.366	3.353	happy_females	n/a	1	9
47.288	3.353	happy_males	n/a	1	10
53.211	3.351	scrambled	n/a	1	11
58.151	3.347	scrambled	n/a	1	12
62.07	3.349	angry_males	n/a	1	13
65.99	3.349	angry_males	n/a	1	14
72.391	3.353	neutral_females	n/a	1	15
78.794	3.355	happy_females	n/a	1	16
83.718	3.352	neutral_females	n/a	0	17
88.635	3.355	happy_females	n/a	1	18
94.043	3.352	happy_males	n/a	0	19
98.962	3.358	angry_females	n/a	1	20
104.89	3.35	scrambled	n/a	0	21
111.79	3.35	happy_females	n/a	1	22
117.21	3.35	scrambled	n/a	1	23
122.13	3.35	angry_females	n/a	0	24
126.55	3.35	happy_males	n/a	1	25
130.47	3.35	happy_males	n/a	0	26
134.89	3.35	angry_males	n/a	0	27
140.8	3.35	neutral_females	n/a	0	28
145.72	3.35	angry_males	n/a	1	29
150.63	3.36	happy_females	n/a	0	30
157.54	3.35	angry_females	n/a	1	31
161.48	3.35	scrambled	n/a	0	32
167.88	3.36	angry_females	n/a	0	33
171.8	3.35	angry_females	n/a	0	34
176.72	3.36	scrambled	n/a	1	35
183.13	3.35	happy_females	n/a	1	36
190.03	3.36	happy_females	n/a	1	37
196.94	3.35	angry_females	n/a	0	38
201.36	3.35	angry_males	n/a	0	39
206.3	3.35	scrambled	n/a	0	40
213.2	3.36	neutral_females	n/a	1	41
219.61	3.35	angry_males	n/a	1	42
225.01	3.35	happy_males	n/a	1	43
229.93	3.35	happy_males	n/a	1	44
235.34	3.35	neutral_females	n/a	1	45
241.74	3.35	angry_females	n/a	1	46
245.67	3.34	angry_males	n/a	0	47
250.08	3.35	angry_females	n/a	0	48
255.49	3.35	angry_males	n/a	0	49
261.89	3.35	happy_females	n/a	0	50
265.82	3.34	angry_males	n/a	0	51
272.72	3.35	angry_females	n/a	1	52
277.15	3.36	scrambled	n/a	0	53
284.06	3.35	happy_females	n/a	0	54
289.46	3.36	angry_females	n/a	1	55
294.87	3.35	happy_males	n/a	1	56
301.77	3.35	happy_females	n/a	0	57
307.7	3.36	scrambled	n/a	1	58
311.63	3.35	scrambled	n/a	0	59
318.54	3.35	angry_males	n/a	1	60
322.96	3.35	neutral_females	n/a	1	61
328.36	3.35	happy_males	n/a	0	62
334.77	3.35	angry_males	n/a	1	63
339.19	3.35	angry_males	n/a	1	64
344.61	3.35	scrambled	n/a	0	65
351.01	3.35	angry_females	n/a	0	66
356.92	3.35	angry_females	n/a	1	67
362.82	3.35	happy_males	1.4976	1	68
369.22	3.36	happy_females	n/a	1	69
374.63	3.35	angry_females	n/a	0	70
378.54	3.34	happy_males	n/a	1	71
383.44	3.35	neutral_females	n/a	0	72
390.34	3.35	angry_females	n/a	1	73
396.25	3.35	angry_females	n/a	0	74
402.16	3.34	angry_males	n/a	0	75
407.07	3.35	neutral_females	n/a	1	76
411.99	3.35	happy_females	0.9673	0	77
415.91	3.35	angry_females	n/a	1	78
422.82	3.35	angry_males	n/a	0	79
429.22	3.36	happy_males	n/a	0	80
436.15	3.35	scrambled	n/a	1	81
440.58	3.35	scrambled	n/a	1	82
446.99	3.35	neutral_females	n/a	0	83
451.41	3.35	happy_females	n/a	1	84
456.33	3.35	happy_females	n/a	0	85
463.23	3.36	angry_females	n/a	0	86
468.15	3.36	happy_females	n/a	0	87
475.07	3.36	angry_males	n/a	0	88
479.52	3.34	scrambled	n/a	0	89
485.42	3.35	happy_males	n/a	0	90
489.84	3.35	neutral_females	n/a	1	91
495.24	3.35	neutral_females	n/a	0	92
502.15	3.35	happy_males	n/a	1	93
506.57	3.35	happy_males	1.4976	0	94
512.99	3.35	scrambled	n/a	1	95
517.41	3.35	neutral_females	n/a	0	96
521.83	3.35	neutral_females	n/a	1	97
527.74	3.35	neutral_females	n/a	1	98
533.64	3.35	happy_males	n/a	0	99
538.06	3.35	angry_females	n/a	0	100
542.0	3.35	scrambled	n/a	0	101
547.92	3.37	scrambled	n/a	0	102
551.85	3.35	happy_females	n/a	1	103
558.26	3.35	angry_males	n/a	1	104
564.17	3.36	angry_males	n/a	0	105
568.6	3.35	happy_females	n/a	0	106
572.52	3.35	neutral_females	n/a	1	107
576.44	3.35	neutral_females	n/a	1	108
