onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0794	3.3567	scrambled	n/a	0	1
4.0108	3.3606	angry_females	n/a	1	2
9.4274	3.3496	angry_males	n/a	0	3
14.832	3.349	angry_males	n/a	1	4
20.232	3.353	angry_females	n/a	0	5
24.149	3.356	happy_females	n/a	0	6
30.554	3.356	happy_females	n/a	1	7
36.462	3.353	neutral_females	n/a	0	8
42.364	3.354	happy_females	n/a	1	9
47.286	3.354	happy_males	n/a	1	10
53.21	3.351	scrambled	n/a	1	11
58.149	3.349	scrambled	n/a	1	12
62.068	3.35	angry_males	n/a	1	13
65.988	3.349	angry_males	n/a	1	14
72.39	3.353	neutral_females	n/a	1	15
78.792	3.356	happy_females	n/a	1	16
83.715	3.354	neutral_females	n/a	0	17
88.634	3.355	happy_females	n/a	1	18
94.041	3.352	happy_males	n/a	0	19
98.96	3.35	angry_females	n/a	1	20
104.88	3.36	scrambled	n/a	0	21
111.78	3.36	happy_females	n/a	1	22
117.21	3.35	scrambled	n/a	1	23
122.13	3.35	angry_females	n/a	0	24
126.55	3.35	happy_males	n/a	1	25
130.47	3.35	happy_males	n/a	0	26
134.89	3.35	angry_males	n/a	0	27
140.79	3.36	neutral_females	n/a	0	28
145.72	3.35	angry_males	n/a	1	29
150.63	3.36	happy_females	n/a	0	30
157.54	3.35	angry_females	n/a	1	31
161.48	3.35	scrambled	n/a	0	32
167.88	3.35	angry_females	n/a	0	33
171.79	3.35	angry_females	n/a	0	34
176.72	3.36	scrambled	n/a	1	35
183.13	3.35	happy_females	n/a	1	36
190.03	3.36	happy_females	n/a	1	37
196.94	3.35	angry_females	n/a	0	38
201.36	3.35	angry_males	n/a	0	39
206.3	3.35	scrambled	n/a	0	40
213.2	3.35	neutral_females	n/a	1	41
219.61	3.35	angry_males	n/a	1	42
225.01	3.35	happy_males	n/a	1	43
229.93	3.35	happy_males	n/a	1	44
235.34	3.36	neutral_females	n/a	1	45
241.76	3.35	angry_females	n/a	1	46
245.68	3.35	angry_males	n/a	0	47
250.1	3.35	angry_females	n/a	0	48
255.51	3.34	angry_males	n/a	0	49
261.9	3.36	happy_females	1.6029	0	50
265.83	3.35	angry_males	n/a	0	51
272.73	3.35	angry_females	n/a	1	52
277.17	3.35	scrambled	n/a	0	53
284.07	3.36	happy_females	n/a	0	54
289.48	3.35	angry_females	n/a	1	55
294.88	3.35	happy_males	n/a	1	56
301.79	3.35	happy_females	n/a	0	57
307.81	3.35	scrambled	n/a	1	58
311.75	3.35	scrambled	n/a	0	59
318.66	3.34	angry_males	n/a	1	60
323.07	3.35	neutral_females	n/a	1	61
328.48	3.35	happy_males	n/a	0	62
334.88	3.35	angry_males	n/a	1	63
339.3	3.35	angry_males	n/a	1	64
344.72	3.35	scrambled	n/a	0	65
351.13	3.35	angry_females	n/a	0	66
357.03	3.35	angry_females	n/a	1	67
362.94	3.35	happy_males	n/a	1	68
369.34	3.35	happy_females	n/a	1	69
374.75	3.35	angry_females	n/a	0	70
378.67	3.35	happy_males	n/a	1	71
383.59	3.35	neutral_females	n/a	0	72
390.49	3.35	angry_females	n/a	1	73
396.4	3.35	angry_females	n/a	0	74
402.31	3.34	angry_males	n/a	0	75
407.22	3.35	neutral_females	n/a	1	76
412.14	3.35	happy_females	n/a	0	77
416.06	3.35	angry_females	n/a	1	78
422.97	3.35	angry_males	n/a	0	79
429.37	3.35	happy_males	n/a	0	80
436.3	3.35	scrambled	n/a	1	81
440.73	3.35	scrambled	n/a	1	82
447.14	3.35	neutral_females	n/a	0	83
451.55	3.36	happy_females	n/a	1	84
456.48	3.35	happy_females	n/a	0	85
463.38	3.35	angry_females	n/a	0	86
468.3	3.35	happy_females	n/a	0	87
475.21	3.35	angry_males	n/a	0	88
479.65	3.35	scrambled	n/a	0	89
485.55	3.35	happy_males	n/a	0	90
489.97	3.35	neutral_females	1.632	1	91
495.39	3.35	neutral_females	n/a	0	92
502.3	3.35	happy_males	n/a	1	93
506.72	3.35	happy_males	n/a	0	94
513.14	3.35	scrambled	n/a	1	95
517.56	3.35	neutral_females	n/a	0	96
521.98	3.35	neutral_females	n/a	1	97
527.89	3.36	neutral_females	n/a	1	98
533.81	3.35	happy_males	n/a	0	99
538.23	3.35	angry_females	n/a	0	100
542.16	3.35	scrambled	n/a	0	101
548.09	3.36	scrambled	n/a	0	102
552.02	3.35	happy_females	n/a	1	103
558.43	3.35	angry_males	n/a	1	104
564.33	3.37	angry_males	n/a	0	105
568.76	3.36	happy_females	n/a	0	106
572.69	3.35	neutral_females	n/a	1	107
576.61	3.35	neutral_females	n/a	1	108
