onset	duration	trial_type	response_time	response_accuracy	trial_no
0.2505	3.3524	angry_males	n/a	1	1
5.6673	3.3554	happy_males	2.0726	1	2
12.573	3.356	happy_females	n/a	1	3
19.478	3.356	happy_females	n/a	0	4
23.408	3.347	angry_males	n/a	1	5
28.809	3.349	angry_males	n/a	1	6
34.252	3.361	scrambled	n/a	0	7
39.179	3.355	angry_females	n/a	0	8
44.116	3.354	scrambled	n/a	0	9
50.524	3.352	neutral_females	n/a	0	10
57.428	3.354	happy_males	n/a	1	11
62.833	3.353	happy_males	n/a	0	12
66.752	3.354	happy_males	n/a	0	13
71.694	3.349	scrambled	n/a	1	14
76.113	3.35	angry_males	n/a	1	15
82.514	3.354	neutral_females	n/a	1	16
86.932	3.355	happy_females	n/a	1	17
91.355	3.354	neutral_females	n/a	0	18
96.764	3.346	angry_males	n/a	1	19
102.16	3.36	happy_females	n/a	0	20
107.57	3.35	angry_males	n/a	1	21
112.49	3.35	angry_females	n/a	1	22
117.89	3.36	angry_females	n/a	1	23
122.81	3.36	neutral_females	n/a	1	24
128.72	3.35	angry_females	n/a	1	25
135.12	3.36	angry_females	n/a	0	26
141.03	3.35	happy_females	n/a	0	27
145.97	3.35	scrambled	n/a	1	28
150.89	3.35	angry_males	n/a	1	29
157.81	3.35	scrambled	n/a	1	30
163.72	3.35	angry_males	n/a	0	31
167.62	3.35	neutral_females	n/a	1	32
172.58	3.36	happy_males	n/a	1	33
176.51	3.35	happy_males	n/a	1	34
182.91	3.35	neutral_females	n/a	0	35
188.83	3.36	scrambled	n/a	0	36
192.75	3.35	neutral_females	n/a	0	37
199.66	3.35	angry_females	n/a	1	38
206.06	3.36	neutral_females	n/a	0	39
210.48	3.36	neutral_females	n/a	0	40
216.39	3.35	neutral_females	n/a	0	41
221.31	3.35	happy_females	n/a	1	42
227.21	3.36	happy_males	n/a	1	43
231.13	3.36	neutral_females	n/a	0	44
236.05	3.36	angry_females	n/a	0	45
239.97	3.36	neutral_females	n/a	0	46
246.88	3.35	neutral_females	n/a	1	47
252.3	3.35	scrambled	n/a	1	48
258.71	3.35	angry_males	n/a	1	49
263.13	3.35	happy_males	n/a	1	50
270.04	3.34	angry_males	n/a	0	51
276.95	3.36	scrambled	n/a	0	52
280.89	3.35	scrambled	n/a	0	53
286.3	3.35	angry_males	n/a	0	54
291.22	3.35	happy_males	n/a	0	55
297.62	3.35	happy_females	n/a	0	56
301.54	3.35	angry_females	n/a	0	57
307.47	3.34	scrambled	n/a	0	58
314.36	3.36	happy_females	n/a	0	59
321.29	3.35	scrambled	n/a	1	60
326.21	3.35	neutral_females	1.6339	1	61
332.13	3.35	scrambled	n/a	0	62
338.04	3.35	angry_males	n/a	1	63
342.96	3.35	neutral_females	n/a	0	64
348.36	3.35	happy_males	n/a	1	65
352.78	3.35	angry_females	n/a	0	66
357.21	3.34	angry_males	n/a	0	67
363.6	3.36	happy_females	n/a	1	68
368.58	3.35	angry_females	n/a	0	69
372.5	3.35	angry_males	n/a	1	70
376.93	3.36	scrambled	n/a	0	71
382.84	3.35	happy_males	n/a	0	72
389.24	3.36	happy_females	n/a	1	73
393.68	3.35	scrambled	n/a	0	74
399.09	3.35	angry_females	n/a	0	75
404.01	3.35	happy_males	n/a	1	76
408.42	3.36	happy_females	n/a	0	77
415.33	3.35	neutral_females	n/a	1	78
420.74	3.35	neutral_females	n/a	1	79
425.16	3.35	neutral_females	n/a	1	80
431.07	3.34	angry_males	n/a	1	81
436.47	3.35	angry_males	n/a	1	82
442.87	3.35	happy_males	n/a	1	83
446.79	3.35	angry_males	n/a	0	84
452.7	3.35	neutral_females	n/a	1	85
459.1	3.35	angry_males	n/a	0	86
463.52	3.35	angry_females	n/a	1	87
469.92	3.36	angry_females	n/a	1	88
475.85	3.36	scrambled	n/a	0	89
479.78	3.35	angry_females	n/a	0	90
485.19	3.35	angry_females	n/a	1	91
489.61	3.35	happy_females	n/a	1	92
493.53	3.35	happy_males	n/a	0	93
499.95	3.35	scrambled	n/a	0	94
506.85	3.36	neutral_females	n/a	1	95
511.78	3.35	angry_females	n/a	1	96
515.7	3.35	angry_females	n/a	0	97
519.61	3.36	happy_females	n/a	0	98
526.52	3.35	happy_females	n/a	1	99
533.45	3.34	scrambled	n/a	0	100
539.85	3.35	angry_females	n/a	0	101
546.27	3.35	scrambled	n/a	1	102
553.18	3.35	neutral_females	n/a	1	103
559.08	3.35	happy_females	n/a	0	104
563.5	3.35	angry_females	n/a	0	105
567.92	3.35	happy_males	n/a	1	106
572.34	3.35	happy_males	n/a	0	107
578.25	3.35	happy_males	n/a	0	108
