onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0531	3.3507	angry_females	n/a	1	1
5.4594	3.3487	neutral_females	n/a	0	2
9.3778	3.3502	angry_males	n/a	1	3
14.804	3.362	scrambled	n/a	1	4
19.733	3.352	neutral_females	n/a	0	5
23.653	3.353	happy_males	n/a	0	6
28.091	3.352	scrambled	n/a	1	7
33.995	3.352	angry_females	n/a	1	8
39.4	3.352	happy_males	n/a	1	9
45.304	3.351	neutral_females	n/a	0	10
50.239	3.355	scrambled	n/a	1	11
57.144	3.355	happy_females	n/a	1	12
64.049	3.356	happy_females	n/a	1	13
70.478	3.348	scrambled	n/a	1	14
75.394	3.352	neutral_females	n/a	1	15
81.296	3.356	happy_females	n/a	0	16
87.208	3.348	angry_males	n/a	1	17
94.127	3.352	scrambled	n/a	1	18
101.03	3.35	angry_males	n/a	1	19
106.44	3.35	neutral_females	n/a	1	20
110.86	3.35	happy_males	n/a	1	21
117.26	3.35	neutral_females	n/a	1	22
124.17	3.35	angry_males	n/a	0	23
131.07	3.35	neutral_females	n/a	1	24
136.98	3.35	angry_females	n/a	1	25
141.39	3.36	happy_females	n/a	0	26
146.81	3.34	angry_males	n/a	1	27
150.72	3.35	happy_males	n/a	1	28
154.66	3.35	scrambled	n/a	0	29
159.58	3.35	angry_females	n/a	0	30
164.98	3.35	neutral_females	n/a	0	31
169.4	3.36	neutral_females	n/a	0	32
174.81	3.35	happy_females	n/a	1	33
180.71	3.35	happy_males	n/a	1	34
187.62	3.35	happy_females	n/a	0	35
192.54	3.35	angry_females	n/a	1	36
196.46	3.35	angry_males	n/a	1	37
203.36	3.36	happy_females	n/a	1	38
209.77	3.35	neutral_females	n/a	0	39
214.19	3.35	neutral_females	n/a	0	40
218.59	3.35	neutral_females	2.7335	0	41
222.51	3.35	happy_males	n/a	1	42
227.45	3.35	scrambled	n/a	1	43
233.87	3.35	scrambled	n/a	0	44
238.29	3.35	angry_males	n/a	0	45
244.7	3.35	happy_males	2.7005	0	46
250.1	3.35	neutral_females	n/a	0	47
256.51	3.35	angry_females	n/a	1	48
262.41	3.35	happy_males	n/a	0	49
267.33	3.35	happy_males	n/a	1	50
274.23	3.36	happy_females	n/a	0	51
279.16	3.35	happy_males	n/a	1	52
284.56	3.35	angry_females	n/a	0	53
290.97	3.35	angry_females	n/a	1	54
295.4	3.36	scrambled	n/a	0	55
299.32	3.36	happy_males	n/a	1	56
304.24	3.36	neutral_females	n/a	0	57
308.68	3.35	scrambled	n/a	0	58
312.6	3.35	happy_females	n/a	1	59
317.52	3.35	angry_males	n/a	1	60
321.94	3.35	neutral_females	n/a	0	61
328.37	3.34	scrambled	n/a	1	62
335.29	3.35	scrambled	n/a	0	63
339.71	3.35	angry_females	n/a	0	64
346.11	3.35	happy_males	n/a	0	65
350.55	3.35	scrambled	n/a	0	66
356.97	3.35	scrambled	n/a	0	67
361.89	3.35	neutral_females	n/a	0	68
368.32	3.34	scrambled	n/a	0	69
374.72	3.35	happy_males	n/a	1	70
380.62	3.35	happy_females	n/a	1	71
385.55	3.34	angry_males	n/a	0	72
390.97	3.34	scrambled	n/a	1	73
396.87	3.35	happy_females	n/a	1	74
402.78	3.34	angry_males	n/a	0	75
407.69	3.35	happy_females	n/a	0	76
414.6	3.35	angry_males	n/a	1	77
421.01	3.35	angry_males	n/a	1	78
427.93	3.35	scrambled	n/a	0	79
431.84	3.36	happy_females	3.2035	0	80
437.75	3.35	angry_females	n/a	0	81
443.66	3.35	angry_females	n/a	1	82
449.06	3.35	happy_females	n/a	0	83
453.48	3.35	angry_males	n/a	1	84
458.38	3.35	happy_females	n/a	1	85
462.3	3.35	angry_females	3.3001	1	86
466.72	3.35	neutral_females	n/a	1	87
472.63	3.35	angry_females	n/a	0	88
476.55	3.35	angry_males	n/a	0	89
481.95	3.35	happy_males	n/a	0	90
486.86	3.35	angry_males	n/a	0	91
493.76	3.35	happy_females	2.0343	0	92
497.68	3.35	happy_females	n/a	0	93
502.61	3.34	angry_males	n/a	1	94
506.52	3.35	angry_females	n/a	0	95
511.93	3.35	happy_males	n/a	0	96
516.35	3.35	angry_females	n/a	0	97
520.77	3.35	happy_females	n/a	1	98
527.17	3.35	happy_males	n/a	0	99
533.58	3.35	happy_males	n/a	1	100
538.98	3.35	angry_females	n/a	1	101
542.9	3.35	happy_males	n/a	0	102
548.81	3.35	angry_females	n/a	1	103
555.71	3.35	angry_females	n/a	0	104
561.13	3.35	scrambled	n/a	0	105
568.04	3.35	angry_males	n/a	1	106
571.96	3.35	neutral_females	n/a	1	107
577.86	3.35	angry_females	n/a	0	108
