onset	duration	trial_type	response_time	response_accuracy	trial_no
0.1569	3.3459	angry_males	n/a	1	1
5.5634	3.3604	happy_males	n/a	1	2
12.474	3.355	happy_females	n/a	1	3
19.379	3.356	happy_females	n/a	0	4
23.293	3.345	angry_males	n/a	1	5
28.692	3.35	angry_males	n/a	1	6
34.118	3.345	scrambled	n/a	0	7
39.013	3.354	angry_females	n/a	0	8
43.932	3.356	scrambled	1.0371	0	9
50.339	3.354	neutral_females	n/a	0	10
57.245	3.353	happy_males	n/a	1	11
62.649	3.353	happy_males	n/a	0	12
66.554	3.351	happy_males	n/a	0	13
71.478	3.348	scrambled	n/a	1	14
75.88	3.349	angry_males	n/a	1	15
82.281	3.354	neutral_females	n/a	1	16
86.683	3.355	happy_females	n/a	1	17
91.088	3.354	neutral_females	n/a	0	18
96.496	3.35	angry_males	n/a	1	19
101.89	3.36	happy_females	n/a	0	20
107.3	3.35	angry_males	n/a	1	21
112.21	3.35	angry_females	n/a	1	22
117.61	3.35	angry_females	n/a	1	23
122.51	3.36	neutral_females	2.436	1	24
128.42	3.35	angry_females	n/a	1	25
134.82	3.36	angry_females	n/a	0	26
140.73	3.35	happy_females	n/a	0	27
145.65	3.35	scrambled	n/a	1	28
150.56	3.35	angry_males	n/a	1	29
157.47	3.36	scrambled	n/a	1	30
163.38	3.35	angry_males	n/a	0	31
167.28	3.37	neutral_females	n/a	1	32
172.2	3.36	happy_males	n/a	1	33
176.11	3.37	happy_males	n/a	1	34
182.53	3.35	neutral_females	n/a	0	35
188.45	3.35	scrambled	n/a	0	36
192.35	3.36	neutral_females	n/a	0	37
199.26	3.35	angry_females	n/a	1	38
205.66	3.36	neutral_females	2.0019	0	39
210.07	3.35	neutral_females	n/a	0	40
215.97	3.35	neutral_females	n/a	0	41
220.89	3.35	happy_females	n/a	1	42
226.8	3.37	happy_males	n/a	1	43
230.72	3.35	neutral_females	n/a	0	44
235.62	3.35	angry_females	n/a	0	45
239.53	3.35	neutral_females	n/a	0	46
246.43	3.35	neutral_females	n/a	1	47
251.88	3.36	scrambled	n/a	1	48
258.3	3.36	angry_males	n/a	1	49
262.76	3.35	happy_males	n/a	1	50
269.67	3.35	angry_males	n/a	0	51
276.59	3.35	scrambled	n/a	0	52
280.51	3.35	scrambled	n/a	0	53
285.91	3.35	angry_males	n/a	0	54
290.82	3.35	happy_males	n/a	0	55
297.23	3.36	happy_females	n/a	0	56
301.14	3.35	angry_females	n/a	0	57
307.07	3.34	scrambled	n/a	0	58
313.96	3.36	happy_females	n/a	0	59
320.89	3.35	scrambled	n/a	1	60
325.79	3.35	neutral_females	n/a	1	61
331.73	3.35	scrambled	n/a	0	62
337.64	3.35	angry_males	n/a	1	63
342.54	3.35	neutral_females	n/a	0	64
347.94	3.36	happy_males	n/a	1	65
352.35	3.35	angry_females	n/a	0	66
356.75	3.35	angry_males	n/a	0	67
363.15	3.36	happy_females	n/a	1	68
368.06	3.35	angry_females	n/a	0	69
371.97	3.34	angry_males	n/a	1	70
376.47	3.35	scrambled	n/a	0	71
382.37	3.35	happy_males	n/a	0	72
388.79	3.35	happy_females	n/a	1	73
393.21	3.35	scrambled	n/a	0	74
398.62	3.35	angry_females	n/a	0	75
403.52	3.35	happy_males	n/a	1	76
407.92	3.36	happy_females	n/a	0	77
414.83	3.35	neutral_females	1.9349	1	78
420.24	3.35	neutral_females	n/a	1	79
424.64	3.35	neutral_females	1.6653	1	80
430.55	3.34	angry_males	n/a	1	81
435.95	3.35	angry_males	n/a	1	82
442.35	3.35	happy_males	n/a	1	83
446.33	3.36	angry_males	n/a	0	84
452.24	3.35	neutral_females	n/a	1	85
458.65	3.35	angry_males	n/a	0	86
463.07	3.35	angry_females	n/a	1	87
469.48	3.36	angry_females	n/a	1	88
475.44	3.36	scrambled	n/a	0	89
479.35	3.35	angry_females	n/a	0	90
484.75	3.35	angry_females	2.0335	1	91
489.16	3.35	happy_females	n/a	1	92
493.06	3.35	happy_males	n/a	0	93
499.48	3.35	scrambled	n/a	0	94
506.39	3.35	neutral_females	n/a	1	95
511.31	3.35	angry_females	n/a	1	96
515.21	3.35	angry_females	n/a	0	97
519.11	3.35	happy_females	n/a	0	98
526.02	3.35	happy_females	1.2349	1	99
532.95	3.34	scrambled	n/a	0	100
539.35	3.35	angry_females	n/a	0	101
545.78	3.36	scrambled	n/a	1	102
552.69	3.35	neutral_females	n/a	1	103
558.59	3.37	happy_females	n/a	0	104
563.02	3.41	angry_females	n/a	0	105
567.49	3.35	happy_males	n/a	1	106
571.89	3.37	happy_males	n/a	0	107
577.81	3.37	happy_males	n/a	0	108
