onset	duration	trial_type	response_time	response_accuracy	trial_no
0.3092	3.3604	angry_males	n/a	1	1
5.732	3.3586	happy_males	n/a	1	2
12.643	3.353	happy_females	n/a	1	3
19.546	3.356	happy_females	n/a	0	4
23.459	3.346	angry_males	n/a	1	5
28.859	3.35	angry_males	n/a	1	6
34.303	3.36	scrambled	n/a	0	7
39.213	3.354	angry_females	n/a	0	8
44.134	3.354	scrambled	n/a	0	9
50.54	3.353	neutral_females	n/a	0	10
57.445	3.353	happy_males	n/a	1	11
62.85	3.353	happy_males	n/a	0	12
66.754	3.352	happy_males	n/a	0	13
71.678	3.348	scrambled	n/a	1	14
76.08	3.35	angry_males	n/a	1	15
82.482	3.353	neutral_females	n/a	1	16
86.883	3.355	happy_females	n/a	1	17
91.289	3.353	neutral_females	n/a	0	18
96.697	3.353	angry_males	n/a	1	19
102.1	3.35	happy_females	n/a	0	20
107.51	3.34	angry_males	n/a	1	21
112.41	3.35	angry_females	n/a	1	22
117.81	3.35	angry_females	n/a	1	23
122.71	3.36	neutral_females	n/a	1	24
128.62	3.35	angry_females	n/a	1	25
135.02	3.36	angry_females	n/a	0	26
140.93	3.35	happy_females	n/a	0	27
145.85	3.35	scrambled	n/a	1	28
150.76	3.35	angry_males	n/a	1	29
157.67	3.36	scrambled	n/a	1	30
163.58	3.35	angry_males	n/a	0	31
167.48	3.36	neutral_females	n/a	1	32
172.39	3.35	happy_males	n/a	1	33
176.29	3.35	happy_males	n/a	1	34
182.7	3.35	neutral_females	n/a	0	35
188.62	3.35	scrambled	n/a	0	36
192.52	3.35	neutral_females	n/a	0	37
199.43	3.35	angry_females	n/a	1	38
205.83	3.35	neutral_females	n/a	0	39
210.23	3.36	neutral_females	n/a	0	40
216.14	3.35	neutral_females	n/a	0	41
221.04	3.36	happy_females	n/a	1	42
226.95	3.35	happy_males	n/a	1	43
230.85	3.35	neutral_females	n/a	0	44
235.75	3.36	angry_females	n/a	0	45
239.66	3.35	neutral_females	n/a	0	46
246.56	3.36	neutral_females	n/a	1	47
251.99	3.35	scrambled	n/a	1	48
258.39	3.35	angry_males	n/a	1	49
262.79	3.36	happy_males	n/a	1	50
269.7	3.35	angry_males	n/a	0	51
276.62	3.35	scrambled	n/a	0	52
280.54	3.35	scrambled	n/a	0	53
285.95	3.35	angry_males	n/a	0	54
290.85	3.35	happy_males	n/a	0	55
297.25	3.36	happy_females	n/a	0	56
301.16	3.35	angry_females	n/a	0	57
307.08	3.35	scrambled	n/a	0	58
313.98	3.36	happy_females	n/a	0	59
320.91	3.35	scrambled	n/a	1	60
325.81	3.35	neutral_females	n/a	1	61
331.73	3.35	scrambled	n/a	0	62
337.64	3.35	angry_males	n/a	1	63
342.55	3.34	neutral_females	n/a	0	64
347.95	3.35	happy_males	n/a	1	65
352.35	3.35	angry_females	n/a	0	66
356.76	3.34	angry_males	n/a	0	67
363.15	3.36	happy_females	n/a	1	68
368.06	3.35	angry_females	n/a	0	69
371.97	3.35	angry_males	n/a	1	70
376.38	3.36	scrambled	n/a	0	71
382.29	3.35	happy_males	n/a	0	72
388.69	3.36	happy_females	n/a	1	73
393.11	3.36	scrambled	n/a	0	74
398.52	3.35	angry_females	n/a	0	75
403.42	3.35	happy_males	n/a	1	76
407.82	3.36	happy_females	n/a	0	77
414.73	3.35	neutral_females	n/a	1	78
420.14	3.35	neutral_females	n/a	1	79
424.54	3.35	neutral_females	n/a	1	80
430.45	3.35	angry_males	n/a	1	81
435.85	3.35	angry_males	n/a	1	82
442.25	3.35	happy_males	n/a	1	83
446.16	3.35	angry_males	n/a	0	84
452.06	3.35	neutral_females	n/a	1	85
458.47	3.35	angry_males	n/a	0	86
462.87	3.35	angry_females	n/a	1	87
469.28	3.35	angry_females	n/a	1	88
475.2	3.35	scrambled	n/a	0	89
479.1	3.35	angry_females	n/a	0	90
484.5	3.36	angry_females	n/a	1	91
488.91	3.35	happy_females	n/a	1	92
492.81	3.35	happy_males	n/a	0	93
499.23	3.35	scrambled	n/a	0	94
506.14	3.35	neutral_females	n/a	1	95
511.04	3.35	angry_females	n/a	1	96
514.95	3.35	angry_females	n/a	0	97
518.85	3.35	happy_females	n/a	0	98
525.75	3.35	happy_females	n/a	1	99
532.68	3.35	scrambled	n/a	0	100
539.08	3.35	angry_females	n/a	0	101
545.51	3.34	scrambled	n/a	1	102
552.41	3.35	neutral_females	n/a	1	103
558.31	3.35	happy_females	n/a	0	104
562.72	3.35	angry_females	n/a	0	105
567.12	3.35	happy_males	n/a	1	106
571.52	3.35	happy_males	n/a	0	107
577.43	3.35	happy_males	n/a	0	108
