onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0803	3.3569	scrambled	n/a	0	1
4.0128	3.3608	angry_females	n/a	1	2
9.4292	3.3478	angry_males	n/a	0	3
14.833	3.349	angry_males	n/a	1	4
20.234	3.352	angry_females	n/a	0	5
24.151	3.355	happy_females	n/a	0	6
30.556	3.355	happy_females	n/a	1	7
36.464	3.352	neutral_females	n/a	0	8
42.366	3.355	happy_females	n/a	1	9
47.288	3.353	happy_males	n/a	1	10
53.212	3.351	scrambled	n/a	1	11
58.151	3.348	scrambled	n/a	1	12
62.054	3.349	angry_males	n/a	1	13
65.973	3.35	angry_males	n/a	1	14
72.375	3.352	neutral_females	n/a	1	15
78.777	3.355	happy_females	n/a	1	16
83.684	3.353	neutral_females	n/a	0	17
88.602	3.354	happy_females	n/a	1	18
94.01	3.35	happy_males	n/a	0	19
98.929	3.351	angry_females	n/a	1	20
104.85	3.35	scrambled	n/a	0	21
111.75	3.36	happy_females	n/a	1	22
117.18	3.35	scrambled	n/a	1	23
122.1	3.35	angry_females	n/a	0	24
126.52	3.35	happy_males	n/a	1	25
130.44	3.35	happy_males	n/a	0	26
134.86	3.35	angry_males	n/a	0	27
140.76	3.35	neutral_females	n/a	0	28
145.69	3.34	angry_males	n/a	1	29
150.6	3.36	happy_females	n/a	0	30
157.51	3.35	angry_females	n/a	1	31
161.45	3.35	scrambled	n/a	0	32
167.85	3.35	angry_females	n/a	0	33
171.77	3.35	angry_females	n/a	0	34
176.71	3.35	scrambled	n/a	1	35
183.11	3.36	happy_females	n/a	1	36
190.02	3.35	happy_females	0.9688	1	37
196.92	3.36	angry_females	n/a	0	38
201.35	3.35	angry_males	n/a	0	39
206.28	3.35	scrambled	n/a	0	40
213.19	3.35	neutral_females	n/a	1	41
219.6	3.34	angry_males	n/a	1	42
225.0	3.35	happy_males	1.4981	1	43
229.92	3.35	happy_males	n/a	1	44
235.32	3.35	neutral_females	n/a	1	45
241.73	3.35	angry_females	n/a	1	46
245.65	3.35	angry_males	n/a	0	47
250.07	3.35	angry_females	1.3996	0	48
255.48	3.34	angry_males	n/a	0	49
261.87	3.36	happy_females	n/a	0	50
265.8	3.35	angry_males	n/a	0	51
272.7	3.35	angry_females	n/a	1	52
277.14	3.35	scrambled	0.7645	0	53
284.04	3.36	happy_females	n/a	0	54
289.45	3.35	angry_females	n/a	1	55
294.85	3.35	happy_males	n/a	1	56
301.76	3.35	happy_females	n/a	0	57
307.68	3.37	scrambled	n/a	1	58
311.63	3.35	scrambled	n/a	0	59
318.54	3.35	angry_males	n/a	1	60
322.96	3.35	neutral_females	n/a	1	61
328.36	3.35	happy_males	n/a	0	62
334.77	3.35	angry_males	n/a	1	63
339.19	3.35	angry_males	n/a	1	64
344.61	3.35	scrambled	n/a	0	65
351.01	3.35	angry_females	n/a	0	66
356.92	3.35	angry_females	n/a	1	67
362.82	3.35	happy_males	n/a	1	68
369.23	3.35	happy_females	n/a	1	69
374.63	3.35	angry_females	n/a	0	70
378.55	3.35	happy_males	n/a	1	71
383.47	3.35	neutral_females	n/a	0	72
390.38	3.35	angry_females	n/a	1	73
396.28	3.35	angry_females	n/a	0	74
402.19	3.35	angry_males	n/a	0	75
407.11	3.35	neutral_females	n/a	1	76
412.03	3.35	happy_females	n/a	0	77
415.95	3.35	angry_females	n/a	1	78
422.86	3.34	angry_males	n/a	0	79
429.26	3.35	happy_males	n/a	0	80
436.18	3.35	scrambled	n/a	1	81
440.62	3.35	scrambled	n/a	1	82
447.02	3.35	neutral_females	n/a	0	83
451.44	3.35	happy_females	n/a	1	84
456.36	3.35	happy_females	n/a	0	85
463.27	3.35	angry_females	1.899	0	86
468.19	3.35	happy_females	n/a	0	87
475.1	3.35	angry_males	n/a	0	88
479.53	3.35	scrambled	n/a	0	89
485.44	3.35	happy_males	n/a	0	90
489.86	3.35	neutral_females	n/a	1	91
495.26	3.35	neutral_females	n/a	0	92
502.17	3.35	happy_males	n/a	1	93
506.59	3.35	happy_males	n/a	0	94
513.01	3.35	scrambled	n/a	1	95
517.43	3.35	neutral_females	n/a	0	96
521.85	3.35	neutral_females	n/a	1	97
527.76	3.34	neutral_females	n/a	1	98
533.66	3.35	happy_males	n/a	0	99
538.06	3.35	angry_females	n/a	0	100
542.0	3.35	scrambled	n/a	0	101
547.93	3.36	scrambled	n/a	0	102
551.85	3.36	happy_females	n/a	1	103
558.27	3.34	angry_males	n/a	1	104
564.17	3.36	angry_males	n/a	0	105
568.6	3.35	happy_females	n/a	0	106
572.52	3.35	neutral_females	n/a	1	107
576.44	3.35	neutral_females	n/a	1	108
