onset	duration	trial_type	response_time	response_accuracy	trial_no
0.1538	3.3489	angry_males	n/a	1	1
5.5641	3.3596	happy_males	n/a	1	2
12.473	3.356	happy_females	n/a	1	3
19.378	3.355	happy_females	n/a	0	4
23.292	3.346	angry_males	n/a	1	5
28.692	3.35	angry_males	n/a	1	6
34.118	3.362	scrambled	n/a	0	7
39.046	3.354	angry_females	n/a	0	8
43.982	3.354	scrambled	n/a	0	9
50.389	3.353	neutral_females	n/a	0	10
57.295	3.353	happy_males	n/a	1	11
62.7	3.352	happy_males	n/a	0	12
66.618	3.354	happy_males	n/a	0	13
71.561	3.348	scrambled	n/a	1	14
75.979	3.349	angry_males	n/a	1	15
82.38	3.353	neutral_females	n/a	1	16
86.783	3.355	happy_females	1.3041	1	17
91.204	3.353	neutral_females	n/a	0	18
96.612	3.349	angry_males	n/a	1	19
102.01	3.36	happy_females	n/a	0	20
107.42	3.35	angry_males	n/a	1	21
112.32	3.35	angry_females	n/a	1	22
117.73	3.35	angry_females	n/a	1	23
122.65	3.35	neutral_females	n/a	1	24
128.55	3.35	angry_females	n/a	1	25
134.96	3.35	angry_females	n/a	0	26
140.86	3.35	happy_females	n/a	0	27
145.8	3.35	scrambled	n/a	1	28
150.71	3.35	angry_males	n/a	1	29
157.62	3.36	scrambled	n/a	1	30
163.53	3.35	angry_males	n/a	0	31
167.43	3.35	neutral_females	n/a	1	32
172.35	3.36	happy_males	n/a	1	33
176.27	3.36	happy_males	n/a	1	34
182.68	3.35	neutral_females	n/a	0	35
188.6	3.35	scrambled	n/a	0	36
192.52	3.35	neutral_females	n/a	0	37
199.42	3.36	angry_females	n/a	1	38
205.83	3.35	neutral_females	n/a	0	39
210.23	3.36	neutral_females	n/a	0	40
216.14	3.35	neutral_females	n/a	0	41
221.06	3.35	happy_females	n/a	1	42
226.96	3.35	happy_males	n/a	1	43
230.88	3.36	neutral_females	n/a	0	44
235.8	3.36	angry_females	n/a	0	45
239.72	3.36	neutral_females	n/a	0	46
246.63	3.35	neutral_females	n/a	1	47
252.05	3.35	scrambled	n/a	1	48
258.46	3.35	angry_males	n/a	1	49
262.87	3.36	happy_males	n/a	1	50
269.78	3.35	angry_males	n/a	0	51
276.7	3.35	scrambled	n/a	0	52
280.64	3.35	scrambled	n/a	0	53
286.05	3.35	angry_males	n/a	0	54
290.96	3.35	happy_males	n/a	0	55
297.37	3.35	happy_females	n/a	0	56
301.29	3.35	angry_females	n/a	0	57
307.22	3.34	scrambled	n/a	0	58
314.11	3.36	happy_females	n/a	0	59
321.04	3.35	scrambled	n/a	1	60
325.96	3.35	neutral_females	n/a	1	61
331.88	3.35	scrambled	n/a	0	62
337.79	3.35	angry_males	n/a	1	63
342.7	3.36	neutral_females	n/a	0	64
348.11	3.35	happy_males	n/a	1	65
352.53	3.35	angry_females	n/a	0	66
356.95	3.35	angry_males	n/a	0	67
363.35	3.36	happy_females	n/a	1	68
368.27	3.36	angry_females	2.0341	0	69
372.2	3.35	angry_males	n/a	1	70
376.63	3.35	scrambled	n/a	0	71
382.54	3.35	happy_males	n/a	0	72
388.94	3.35	happy_females	n/a	1	73
393.36	3.35	scrambled	n/a	0	74
398.77	3.35	angry_females	n/a	0	75
403.69	3.35	happy_males	n/a	1	76
408.09	3.35	happy_females	n/a	0	77
415.0	3.35	neutral_females	n/a	1	78
420.4	3.35	neutral_females	n/a	1	79
424.82	3.35	neutral_females	n/a	1	80
430.73	3.35	angry_males	n/a	1	81
436.13	3.35	angry_males	n/a	1	82
442.53	3.36	happy_males	n/a	1	83
446.46	3.35	angry_males	n/a	0	84
452.36	3.35	neutral_females	n/a	1	85
458.77	3.35	angry_males	n/a	0	86
463.18	3.36	angry_females	n/a	1	87
469.59	3.35	angry_females	n/a	1	88
475.52	3.36	scrambled	n/a	0	89
479.45	3.35	angry_females	n/a	0	90
484.85	3.35	angry_females	n/a	1	91
489.27	3.35	happy_females	1.7352	1	92
493.19	3.35	happy_males	n/a	0	93
499.62	3.34	scrambled	n/a	0	94
506.52	3.35	neutral_females	n/a	1	95
511.44	3.35	angry_females	n/a	1	96
515.36	3.35	angry_females	n/a	0	97
519.28	3.35	happy_females	n/a	0	98
526.18	3.36	happy_females	n/a	1	99
533.11	3.35	scrambled	n/a	0	100
539.51	3.35	angry_females	n/a	0	101
545.94	3.34	scrambled	n/a	1	102
552.84	3.35	neutral_females	n/a	1	103
558.74	3.35	happy_females	n/a	0	104
563.16	3.35	angry_females	n/a	0	105
567.58	3.35	happy_males	n/a	1	106
572.0	3.35	happy_males	n/a	0	107
577.91	3.35	happy_males	n/a	0	108
