onset	duration	trial_type	response_time	response_accuracy	trial_no
0.1788	3.3585	angry_males	n/a	1	1
5.6014	3.3569	happy_males	n/a	1	2
12.507	3.357	happy_females	n/a	1	3
19.411	3.358	happy_females	n/a	0	4
23.341	3.348	angry_males	n/a	1	5
28.743	3.35	angry_males	n/a	1	6
34.171	3.36	scrambled	n/a	0	7
39.096	3.354	angry_females	n/a	0	8
44.032	3.355	scrambled	n/a	0	9
50.442	3.352	neutral_females	n/a	0	10
57.344	3.354	happy_males	n/a	1	11
62.75	3.353	happy_males	n/a	0	12
66.668	3.355	happy_males	n/a	0	13
71.61	3.35	scrambled	n/a	1	14
76.031	3.349	angry_males	n/a	1	15
82.431	3.354	neutral_females	n/a	1	16
86.848	3.357	happy_females	n/a	1	17
91.271	3.353	neutral_females	n/a	0	18
96.68	3.35	angry_males	n/a	1	19
102.08	3.35	happy_females	n/a	0	20
107.49	3.35	angry_males	n/a	1	21
112.4	3.36	angry_females	n/a	1	22
117.81	3.35	angry_females	n/a	1	23
122.73	3.35	neutral_females	n/a	1	24
128.63	3.36	angry_females	n/a	1	25
135.04	3.35	angry_females	n/a	0	26
140.94	3.36	happy_females	n/a	0	27
145.88	3.36	scrambled	n/a	1	28
150.81	3.35	angry_males	n/a	1	29
157.72	3.36	scrambled	n/a	1	30
163.63	3.35	angry_males	n/a	0	31
167.55	3.35	neutral_females	n/a	1	32
172.47	3.35	happy_males	n/a	1	33
176.39	3.35	happy_males	n/a	1	34
182.79	3.36	neutral_females	n/a	0	35
188.72	3.35	scrambled	n/a	0	36
192.63	3.36	neutral_females	n/a	0	37
199.54	3.35	angry_females	1.5699	1	38
205.95	3.35	neutral_females	n/a	0	39
210.37	3.35	neutral_females	n/a	0	40
216.27	3.35	neutral_females	n/a	0	41
221.19	3.35	happy_females	n/a	1	42
227.1	3.35	happy_males	n/a	1	43
231.02	3.35	neutral_females	n/a	0	44
235.94	3.35	angry_females	n/a	0	45
239.86	3.35	neutral_females	n/a	0	46
246.76	3.35	neutral_females	n/a	1	47
252.18	3.36	scrambled	n/a	1	48
258.59	3.35	angry_males	n/a	1	49
263.01	3.35	happy_males	n/a	1	50
269.92	3.35	angry_males	n/a	0	51
276.83	3.36	scrambled	n/a	0	52
280.75	3.36	scrambled	n/a	0	53
286.16	3.35	angry_males	n/a	0	54
291.08	3.35	happy_males	n/a	0	55
297.48	3.36	happy_females	n/a	0	56
301.4	3.36	angry_females	n/a	0	57
307.33	3.35	scrambled	n/a	0	58
314.23	3.35	happy_females	n/a	0	59
321.15	3.36	scrambled	n/a	1	60
326.07	3.36	neutral_females	n/a	1	61
332.0	3.35	scrambled	n/a	0	62
337.9	3.35	angry_males	n/a	1	63
342.82	3.35	neutral_females	n/a	0	64
348.23	3.35	happy_males	n/a	1	65
352.63	3.35	angry_females	n/a	0	66
357.05	3.35	angry_males	1.4306	0	67
363.45	3.36	happy_females	n/a	1	68
368.37	3.36	angry_females	n/a	0	69
372.3	3.35	angry_males	n/a	1	70
376.73	3.35	scrambled	n/a	0	71
382.64	3.35	happy_males	n/a	0	72
389.04	3.35	happy_females	n/a	1	73
393.48	3.35	scrambled	n/a	0	74
398.88	3.35	angry_females	n/a	0	75
403.8	3.35	happy_males	n/a	1	76
408.22	3.36	happy_females	n/a	0	77
415.13	3.35	neutral_females	n/a	1	78
420.53	3.35	neutral_females	n/a	1	79
424.95	3.35	neutral_females	n/a	1	80
430.86	3.35	angry_males	n/a	1	81
436.27	3.34	angry_males	n/a	1	82
442.67	3.35	happy_males	n/a	1	83
446.59	3.35	angry_males	n/a	0	84
452.49	3.35	neutral_females	n/a	1	85
458.9	3.35	angry_males	n/a	0	86
463.32	3.35	angry_females	n/a	1	87
469.72	3.35	angry_females	n/a	1	88
475.65	3.34	scrambled	n/a	0	89
479.56	3.35	angry_females	n/a	0	90
484.97	3.35	angry_females	n/a	1	91
489.38	3.36	happy_females	n/a	1	92
493.31	3.35	happy_males	n/a	0	93
499.73	3.35	scrambled	n/a	0	94
506.63	3.35	neutral_females	n/a	1	95
511.55	3.36	angry_females	n/a	1	96
515.47	3.36	angry_females	n/a	0	97
519.39	3.36	happy_females	n/a	0	98
526.3	3.35	happy_females	n/a	1	99
533.23	3.34	scrambled	n/a	0	100
539.63	3.35	angry_females	n/a	0	101
546.05	3.35	scrambled	0.598	1	102
552.95	3.36	neutral_females	n/a	1	103
558.86	3.35	happy_females	n/a	0	104
563.28	3.35	angry_females	n/a	0	105
567.7	3.35	happy_males	n/a	1	106
572.12	3.35	happy_males	n/a	0	107
578.03	3.35	happy_males	n/a	0	108
