onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0793	3.3568	scrambled	n/a	0	1
3.9963	3.3606	angry_females	n/a	1	2
9.4124	3.3486	angry_males	n/a	0	3
14.816	3.35	angry_males	n/a	1	4
20.217	3.353	angry_females	n/a	0	5
24.133	3.357	happy_females	n/a	0	6
30.539	3.356	happy_females	n/a	1	7
36.447	3.353	neutral_females	n/a	0	8
42.349	3.355	happy_females	n/a	1	9
47.273	3.352	happy_males	n/a	1	10
53.195	3.351	scrambled	n/a	1	11
58.134	3.349	scrambled	n/a	1	12
62.054	3.349	angry_males	n/a	1	13
65.973	3.35	angry_males	n/a	1	14
72.376	3.352	neutral_females	n/a	1	15
78.777	3.355	happy_females	n/a	1	16
83.684	3.353	neutral_females	n/a	0	17
88.602	3.355	happy_females	n/a	1	18
94.01	3.352	happy_males	n/a	0	19
98.929	3.351	angry_females	n/a	1	20
104.85	3.35	scrambled	n/a	0	21
111.75	3.36	happy_females	n/a	1	22
117.18	3.35	scrambled	n/a	1	23
122.1	3.35	angry_females	n/a	0	24
126.52	3.35	happy_males	n/a	1	25
130.44	3.35	happy_males	n/a	0	26
134.85	3.34	angry_males	n/a	0	27
140.75	3.35	neutral_females	n/a	0	28
145.67	3.35	angry_males	n/a	1	29
150.59	3.35	happy_females	n/a	0	30
157.49	3.36	angry_females	n/a	1	31
161.43	3.35	scrambled	n/a	0	32
167.83	3.36	angry_females	n/a	0	33
171.75	3.36	angry_females	n/a	0	34
176.69	3.35	scrambled	n/a	1	35
183.09	3.36	happy_females	n/a	1	36
190.0	3.35	happy_females	n/a	1	37
196.91	3.35	angry_females	n/a	0	38
201.33	3.35	angry_males	n/a	0	39
206.27	3.35	scrambled	n/a	0	40
213.17	3.35	neutral_females	n/a	1	41
219.58	3.35	angry_males	n/a	1	42
224.98	3.35	happy_males	n/a	1	43
229.9	3.35	happy_males	n/a	1	44
235.31	3.35	neutral_females	n/a	1	45
241.71	3.35	angry_females	n/a	1	46
245.63	3.35	angry_males	n/a	0	47
250.05	3.35	angry_females	n/a	0	48
255.46	3.35	angry_males	n/a	0	49
261.86	3.35	happy_females	n/a	0	50
265.78	3.35	angry_males	n/a	0	51
272.68	3.36	angry_females	n/a	1	52
277.12	3.35	scrambled	n/a	0	53
284.03	3.35	happy_females	n/a	0	54
289.43	3.35	angry_females	n/a	1	55
294.84	3.35	happy_males	n/a	1	56
301.74	3.35	happy_females	n/a	0	57
307.67	3.34	scrambled	n/a	1	58
311.6	3.35	scrambled	n/a	0	59
318.51	3.35	angry_males	n/a	1	60
322.93	3.35	neutral_females	n/a	1	61
328.33	3.35	happy_males	n/a	0	62
334.74	3.35	angry_males	n/a	1	63
339.16	3.35	angry_males	n/a	1	64
344.58	3.35	scrambled	n/a	0	65
350.98	3.35	angry_females	n/a	0	66
356.89	3.35	angry_females	n/a	1	67
362.79	3.35	happy_males	n/a	1	68
369.19	3.36	happy_females	n/a	1	69
374.6	3.35	angry_females	n/a	0	70
378.52	3.35	happy_males	n/a	1	71
383.44	3.35	neutral_females	n/a	0	72
390.35	3.35	angry_females	n/a	1	73
396.25	3.35	angry_females	n/a	0	74
402.16	3.35	angry_males	n/a	0	75
407.08	3.35	neutral_females	n/a	1	76
411.99	3.36	happy_females	1.1013	0	77
415.92	3.35	angry_females	n/a	1	78
422.83	3.34	angry_males	n/a	0	79
429.23	3.35	happy_males	n/a	0	80
436.15	3.35	scrambled	n/a	1	81
440.59	3.35	scrambled	n/a	1	82
446.99	3.35	neutral_females	n/a	0	83
451.41	3.35	happy_females	n/a	1	84
456.33	3.35	happy_females	n/a	0	85
463.24	3.35	angry_females	n/a	0	86
468.16	3.35	happy_females	n/a	0	87
475.07	3.35	angry_males	n/a	0	88
479.5	3.35	scrambled	n/a	0	89
485.41	3.35	happy_males	n/a	0	90
489.83	3.35	neutral_females	n/a	1	91
495.23	3.35	neutral_females	n/a	0	92
502.14	3.35	happy_males	n/a	1	93
506.56	3.35	happy_males	n/a	0	94
512.98	3.35	scrambled	n/a	1	95
517.4	3.35	neutral_females	n/a	0	96
521.82	3.35	neutral_females	n/a	1	97
527.72	3.35	neutral_females	n/a	1	98
533.63	3.35	happy_males	n/a	0	99
538.05	3.35	angry_females	n/a	0	100
541.99	3.35	scrambled	n/a	0	101
547.91	3.36	scrambled	1.2091	0	102
551.84	3.35	happy_females	n/a	1	103
558.25	3.35	angry_males	n/a	1	104
564.16	3.36	angry_males	n/a	0	105
568.59	3.35	happy_females	n/a	0	106
572.51	3.35	neutral_females	n/a	1	107
576.43	3.35	neutral_females	n/a	1	108
