onset	duration	trial_type	response_time	response_accuracy	trial_no
0.4802	3.4896	angry_males	n/a	1	1
6.0332	3.3575	happy_males	n/a	1	2
12.945	3.351	happy_females	n/a	1	3
19.846	3.356	happy_females	n/a	0	4
23.76	3.345	angry_males	n/a	1	5
29.159	3.35	angry_males	n/a	1	6
34.608	3.355	scrambled	n/a	0	7
39.514	3.353	angry_females	n/a	0	8
44.433	3.354	scrambled	n/a	0	9
50.839	3.353	neutral_females	n/a	0	10
57.745	3.353	happy_males	n/a	1	11
63.15	3.352	happy_males	n/a	0	12
67.053	3.352	happy_males	n/a	0	13
71.977	3.349	scrambled	n/a	1	14
76.38	3.349	angry_males	n/a	1	15
82.781	3.353	neutral_females	n/a	1	16
87.182	3.356	happy_females	n/a	1	17
91.588	3.353	neutral_females	2.303	0	18
96.996	3.354	angry_males	n/a	1	19
102.39	3.36	happy_females	n/a	0	20
107.81	3.34	angry_males	n/a	1	21
112.7	3.36	angry_females	n/a	1	22
118.11	3.35	angry_females	n/a	1	23
123.01	3.36	neutral_females	n/a	1	24
128.92	3.35	angry_females	n/a	1	25
135.32	3.36	angry_females	n/a	0	26
141.23	3.35	happy_females	n/a	0	27
146.15	3.35	scrambled	n/a	1	28
151.06	3.34	angry_males	n/a	1	29
157.97	3.36	scrambled	n/a	1	30
163.88	3.35	angry_males	n/a	0	31
167.78	3.35	neutral_females	n/a	1	32
172.69	3.35	happy_males	n/a	1	33
176.59	3.35	happy_males	n/a	1	34
182.99	3.36	neutral_females	n/a	0	35
188.92	3.35	scrambled	n/a	0	36
192.82	3.35	neutral_females	n/a	0	37
199.72	3.36	angry_females	n/a	1	38
206.13	3.35	neutral_females	n/a	0	39
210.53	3.35	neutral_females	n/a	0	40
216.44	3.35	neutral_females	n/a	0	41
221.34	3.35	happy_females	n/a	1	42
227.25	3.35	happy_males	n/a	1	43
231.15	3.35	neutral_females	n/a	0	44
236.05	3.35	angry_females	3.1028	0	45
239.96	3.35	neutral_females	n/a	0	46
246.86	3.35	neutral_females	n/a	1	47
252.28	3.35	scrambled	n/a	1	48
258.69	3.35	angry_males	n/a	1	49
263.09	3.35	happy_males	n/a	1	50
270.0	3.35	angry_males	n/a	0	51
276.92	3.35	scrambled	n/a	0	52
280.84	3.35	scrambled	0.9006	0	53
286.25	3.34	angry_males	n/a	0	54
291.15	3.35	happy_males	n/a	0	55
297.55	3.35	happy_females	n/a	0	56
301.45	3.36	angry_females	n/a	0	57
307.38	3.35	scrambled	n/a	0	58
314.28	3.35	happy_females	n/a	0	59
321.2	3.35	scrambled	n/a	1	60
326.11	3.35	neutral_females	n/a	1	61
332.03	3.35	scrambled	n/a	0	62
337.94	3.34	angry_males	n/a	1	63
342.84	3.35	neutral_females	n/a	0	64
348.24	3.35	happy_males	2.1674	1	65
352.64	3.36	angry_females	n/a	0	66
357.05	3.35	angry_males	n/a	0	67
363.45	3.35	happy_females	n/a	1	68
368.36	3.35	angry_females	n/a	0	69
372.26	3.35	angry_males	n/a	1	70
376.68	3.35	scrambled	n/a	0	71
382.59	3.35	happy_males	n/a	0	72
388.99	3.35	happy_females	n/a	1	73
393.41	3.35	scrambled	n/a	0	74
398.81	3.36	angry_females	n/a	0	75
403.72	3.35	happy_males	n/a	1	76
408.12	3.35	happy_females	n/a	0	77
415.03	3.35	neutral_females	n/a	1	78
420.43	3.35	neutral_females	n/a	1	79
424.84	3.35	neutral_females	n/a	1	80
430.74	3.35	angry_males	n/a	1	81
436.15	3.35	angry_males	n/a	1	82
442.55	3.35	happy_males	2.7007	1	83
446.46	3.34	angry_males	n/a	0	84
452.36	3.35	neutral_females	n/a	1	85
458.77	3.34	angry_males	n/a	0	86
463.17	3.35	angry_females	n/a	1	87
469.57	3.35	angry_females	n/a	1	88
475.5	3.34	scrambled	n/a	0	89
479.4	3.35	angry_females	n/a	0	90
484.8	3.35	angry_females	n/a	1	91
489.2	3.35	happy_females	n/a	1	92
493.11	3.35	happy_males	n/a	0	93
499.53	3.35	scrambled	n/a	0	94
506.43	3.35	neutral_females	n/a	1	95
511.34	3.35	angry_females	n/a	1	96
515.24	3.35	angry_females	n/a	0	97
519.14	3.35	happy_females	n/a	0	98
526.05	3.35	happy_females	n/a	1	99
532.98	3.34	scrambled	n/a	0	100
539.38	3.35	angry_females	2.1321	0	101
545.8	3.35	scrambled	n/a	1	102
552.7	3.35	neutral_females	n/a	1	103
558.61	3.35	happy_females	n/a	0	104
563.01	3.35	angry_females	n/a	0	105
567.42	3.34	happy_males	n/a	1	106
571.82	3.35	happy_males	n/a	0	107
577.72	3.35	happy_males	n/a	0	108
