onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0805	3.3556	scrambled	n/a	0	1
3.9967	3.3591	angry_females	n/a	1	2
9.4113	3.3487	angry_males	n/a	0	3
14.815	3.349	angry_males	n/a	1	4
20.216	3.353	angry_females	n/a	0	5
24.118	3.354	happy_females	n/a	0	6
30.522	3.355	happy_females	n/a	1	7
36.429	3.352	neutral_females	n/a	0	8
42.333	3.353	happy_females	n/a	1	9
47.238	3.352	happy_males	n/a	1	10
53.16	3.351	scrambled	n/a	1	11
58.084	3.348	scrambled	n/a	1	12
61.987	3.348	angry_males	n/a	1	13
65.89	3.348	angry_males	n/a	1	14
72.292	3.351	neutral_females	n/a	1	15
78.693	3.355	happy_females	n/a	1	16
83.6	3.352	neutral_females	n/a	0	17
88.501	3.354	happy_females	n/a	1	18
93.908	3.352	happy_males	n/a	0	19
98.811	3.349	angry_females	n/a	1	20
104.74	3.34	scrambled	n/a	0	21
111.64	3.35	happy_females	n/a	1	22
117.06	3.35	scrambled	n/a	1	23
121.96	3.36	angry_females	n/a	0	24
126.37	3.35	happy_males	n/a	1	25
130.27	3.35	happy_males	n/a	0	26
134.68	3.35	angry_males	n/a	0	27
140.58	3.35	neutral_females	n/a	0	28
145.49	3.34	angry_males	n/a	1	29
150.38	3.36	happy_females	n/a	0	30
157.29	3.35	angry_females	n/a	1	31
161.21	3.35	scrambled	n/a	0	32
167.62	3.35	angry_females	n/a	0	33
171.52	3.35	angry_females	n/a	0	34
176.44	3.35	scrambled	n/a	1	35
182.84	3.36	happy_females	n/a	1	36
189.75	3.35	happy_females	n/a	1	37
196.66	3.35	angry_females	n/a	0	38
201.06	3.35	angry_males	n/a	0	39
205.98	3.35	scrambled	1.466	0	40
212.89	3.35	neutral_females	n/a	1	41
219.29	3.35	angry_males	n/a	1	42
224.7	3.35	happy_males	n/a	1	43
229.6	3.35	happy_males	n/a	1	44
235.0	3.35	neutral_females	n/a	1	45
241.41	3.35	angry_females	n/a	1	46
245.32	3.34	angry_males	n/a	0	47
249.72	3.35	angry_females	n/a	0	48
255.12	3.35	angry_males	n/a	0	49
261.52	3.35	happy_females	n/a	0	50
265.43	3.35	angry_males	n/a	0	51
272.33	3.35	angry_females	n/a	1	52
276.75	3.35	scrambled	n/a	0	53
283.66	3.35	happy_females	n/a	0	54
289.06	3.35	angry_females	n/a	1	55
294.47	3.35	happy_males	n/a	1	56
301.37	3.35	happy_females	n/a	0	57
307.3	3.34	scrambled	n/a	1	58
311.22	3.34	scrambled	n/a	0	59
318.12	3.35	angry_males	n/a	1	60
322.52	3.35	neutral_females	n/a	1	61
327.93	3.35	happy_males	n/a	0	62
334.34	3.34	angry_males	n/a	1	63
338.74	3.35	angry_males	n/a	1	64
344.16	3.35	scrambled	2.4665	0	65
350.56	3.35	angry_females	n/a	0	66
356.47	3.35	angry_females	n/a	1	67
362.37	3.35	happy_males	2.8002	1	68
368.77	3.36	happy_females	n/a	1	69
374.18	3.35	angry_females	n/a	0	70
378.08	3.35	happy_males	n/a	1	71
382.99	3.35	neutral_females	n/a	0	72
389.89	3.35	angry_females	n/a	1	73
395.8	3.35	angry_females	n/a	0	74
401.71	3.34	angry_males	n/a	0	75
406.61	3.35	neutral_females	n/a	1	76
411.51	3.35	happy_females	n/a	0	77
415.41	3.35	angry_females	n/a	1	78
422.32	3.35	angry_males	n/a	0	79
428.72	3.35	happy_males	n/a	0	80
435.65	3.34	scrambled	n/a	1	81
440.07	3.34	scrambled	n/a	1	82
446.47	3.35	neutral_females	n/a	0	83
450.87	3.35	happy_females	n/a	1	84
455.78	3.35	happy_females	n/a	0	85
462.68	3.35	angry_females	n/a	0	86
467.58	3.36	happy_females	n/a	0	87
474.5	3.34	angry_males	n/a	0	88
478.91	3.35	scrambled	n/a	0	89
484.82	3.35	happy_males	n/a	0	90
489.22	3.35	neutral_females	2.3994	1	91
494.63	3.34	neutral_females	n/a	0	92
501.53	3.35	happy_males	n/a	1	93
505.93	3.35	happy_males	1.9654	0	94
512.35	3.35	scrambled	n/a	1	95
516.76	3.35	neutral_females	n/a	0	96
521.16	3.35	neutral_females	n/a	1	97
527.07	3.35	neutral_females	n/a	1	98
532.97	3.35	happy_males	n/a	0	99
537.38	3.34	angry_females	n/a	0	100
541.3	3.34	scrambled	n/a	0	101
547.22	3.35	scrambled	n/a	0	102
551.12	3.35	happy_females	n/a	1	103
557.53	3.34	angry_males	n/a	1	104
563.43	3.35	angry_males	n/a	0	105
567.83	3.35	happy_females	n/a	0	106
571.74	3.34	neutral_females	n/a	1	107
575.64	3.35	neutral_females	n/a	1	108
