onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0789	3.3561	scrambled	n/a	0	1
3.9947	3.3611	angry_females	n/a	1	2
9.4109	3.3491	angry_males	n/a	0	3
14.815	3.349	angry_males	n/a	1	4
20.216	3.352	angry_females	n/a	0	5
24.132	3.355	happy_females	n/a	0	6
30.537	3.356	happy_females	n/a	1	7
36.445	3.353	neutral_females	n/a	0	8
42.348	3.355	happy_females	n/a	1	9
47.27	3.353	happy_males	n/a	1	10
53.193	3.351	scrambled	n/a	1	11
58.133	3.349	scrambled	n/a	1	12
62.052	3.349	angry_males	n/a	1	13
65.971	3.349	angry_males	n/a	1	14
72.373	3.353	neutral_females	n/a	1	15
78.775	3.356	happy_females	n/a	1	16
83.698	3.354	neutral_females	n/a	0	17
88.618	3.354	happy_females	n/a	1	18
94.025	3.35	happy_males	n/a	0	19
98.944	3.356	angry_females	n/a	1	20
104.87	3.35	scrambled	n/a	0	21
111.77	3.35	happy_females	n/a	1	22
117.19	3.35	scrambled	n/a	1	23
122.11	3.36	angry_females	n/a	0	24
126.53	3.36	happy_males	n/a	1	25
130.45	3.36	happy_males	n/a	0	26
134.88	3.35	angry_males	n/a	0	27
140.78	3.35	neutral_females	n/a	0	28
145.7	3.35	angry_males	n/a	1	29
150.62	3.35	happy_females	n/a	0	30
157.52	3.36	angry_females	1.3678	1	31
161.46	3.35	scrambled	n/a	0	32
167.86	3.36	angry_females	n/a	0	33
171.78	3.36	angry_females	n/a	0	34
176.72	3.36	scrambled	n/a	1	35
183.12	3.36	happy_females	n/a	1	36
190.03	3.35	happy_females	n/a	1	37
196.94	3.35	angry_females	n/a	0	38
201.36	3.35	angry_males	n/a	0	39
206.3	3.35	scrambled	n/a	0	40
213.2	3.35	neutral_females	n/a	1	41
219.61	3.35	angry_males	n/a	1	42
225.01	3.35	happy_males	n/a	1	43
229.93	3.35	happy_males	n/a	1	44
235.34	3.35	neutral_females	n/a	1	45
241.74	3.35	angry_females	n/a	1	46
245.66	3.35	angry_males	n/a	0	47
250.06	3.36	angry_females	n/a	0	48
255.47	3.35	angry_males	n/a	0	49
261.87	3.36	happy_females	n/a	0	50
265.8	3.35	angry_males	n/a	0	51
272.7	3.35	angry_females	n/a	1	52
277.14	3.35	scrambled	n/a	0	53
284.04	3.35	happy_females	n/a	0	54
289.45	3.35	angry_females	n/a	1	55
294.85	3.35	happy_males	n/a	1	56
301.75	3.36	happy_females	n/a	0	57
307.68	3.35	scrambled	n/a	1	58
311.61	3.35	scrambled	n/a	0	59
318.52	3.35	angry_males	n/a	1	60
322.94	3.35	neutral_females	n/a	1	61
328.34	3.35	happy_males	n/a	0	62
334.75	3.35	angry_males	n/a	1	63
339.17	3.35	angry_males	n/a	1	64
344.59	3.35	scrambled	n/a	0	65
350.99	3.36	angry_females	n/a	0	66
356.9	3.35	angry_females	n/a	1	67
362.8	3.35	happy_males	n/a	1	68
369.21	3.35	happy_females	n/a	1	69
374.61	3.35	angry_females	n/a	0	70
378.53	3.35	happy_males	n/a	1	71
383.45	3.35	neutral_females	n/a	0	72
390.36	3.35	angry_females	n/a	1	73
396.26	3.35	angry_females	n/a	0	74
402.17	3.35	angry_males	n/a	0	75
407.09	3.35	neutral_females	n/a	1	76
411.99	3.35	happy_females	n/a	0	77
415.91	3.35	angry_females	n/a	1	78
422.82	3.35	angry_males	n/a	0	79
429.22	3.35	happy_males	n/a	0	80
436.15	3.34	scrambled	n/a	1	81
440.58	3.35	scrambled	n/a	1	82
446.99	3.35	neutral_females	n/a	0	83
451.4	3.36	happy_females	n/a	1	84
456.32	3.36	happy_females	n/a	0	85
463.23	3.35	angry_females	n/a	0	86
468.15	3.35	happy_females	n/a	0	87
475.06	3.35	angry_males	n/a	0	88
479.5	3.35	scrambled	n/a	0	89
485.4	3.35	happy_males	n/a	0	90
489.82	3.35	neutral_females	1.1321	1	91
495.23	3.35	neutral_females	n/a	0	92
502.13	3.35	happy_males	n/a	1	93
506.55	3.35	happy_males	n/a	0	94
512.97	3.35	scrambled	n/a	1	95
517.39	3.35	neutral_females	n/a	0	96
521.81	3.35	neutral_females	n/a	1	97
527.72	3.35	neutral_females	n/a	1	98
533.62	3.35	happy_males	n/a	0	99
538.04	3.35	angry_females	n/a	0	100
541.98	3.35	scrambled	n/a	0	101
547.91	3.36	scrambled	n/a	0	102
551.82	3.35	happy_females	n/a	1	103
558.23	3.34	angry_males	n/a	1	104
564.13	3.35	angry_males	n/a	0	105
568.55	3.35	happy_females	n/a	0	106
572.47	3.35	neutral_females	n/a	1	107
576.39	3.35	neutral_females	n/a	1	108
