onset	duration	trial_type	response_time	response_accuracy	trial_no
0.057	3.347	angry_males	n/a	1	1
5.9839	3.3582	scrambled	n/a	0	2
11.394	3.352	happy_males	n/a	1	3
15.31	3.355	happy_females	n/a	0	4
21.735	3.353	scrambled	n/a	1	5
25.658	3.349	angry_males	n/a	1	6
29.574	3.354	happy_males	n/a	1	7
36.48	3.353	neutral_females	n/a	0	8
42.386	3.351	happy_males	n/a	0	9
47.305	3.352	angry_females	n/a	1	10
52.71	3.353	neutral_females	n/a	0	11
59.632	3.353	scrambled	n/a	0	12
63.551	3.354	angry_females	n/a	0	13
67.488	3.353	scrambled	n/a	1	14
74.41	3.352	scrambled	n/a	1	15
78.329	3.354	angry_females	n/a	0	16
83.733	3.354	happy_females	n/a	1	17
89.137	3.355	happy_females	n/a	0	18
93.576	3.352	scrambled	n/a	1	19
97.995	3.355	neutral_females	n/a	1	20
104.4	3.35	angry_males	n/a	1	21
111.31	3.35	happy_males	n/a	1	22
117.71	3.35	angry_females	n/a	1	23
122.13	3.35	angry_females	n/a	0	24
129.04	3.35	angry_females	n/a	0	25
133.98	3.35	scrambled	n/a	1	26
138.9	3.35	happy_males	n/a	1	27
143.82	3.35	neutral_females	n/a	1	28
148.73	3.36	happy_females	n/a	1	29
153.16	3.35	happy_males	n/a	0	30
157.58	3.35	angry_males	n/a	1	31
161.49	3.36	happy_females	n/a	1	32
167.4	3.35	happy_females	n/a	1	33
174.31	3.35	angry_males	n/a	1	34
180.21	3.35	happy_females	n/a	1	35
184.63	3.35	angry_females	n/a	1	36
191.04	3.35	angry_males	n/a	0	37
194.96	3.35	angry_females	n/a	1	38
201.87	3.34	angry_males	n/a	1	39
208.27	3.37	neutral_females	n/a	1	40
213.69	3.35	angry_males	n/a	1	41
218.11	3.35	angry_females	n/a	0	42
225.01	3.36	happy_females	n/a	1	43
229.93	3.36	happy_males	n/a	0	44
236.84	3.35	neutral_females	n/a	0	45
243.25	3.35	neutral_females	n/a	0	46
247.67	3.35	angry_males	n/a	1	47
252.08	3.36	happy_females	n/a	0	48
257.51	3.35	scrambled	n/a	1	49
263.92	3.34	angry_males	n/a	0	50
269.84	3.35	scrambled	n/a	0	51
275.24	3.35	angry_males	n/a	0	52
280.16	3.35	happy_females	n/a	1	53
286.56	3.36	happy_females	n/a	0	54
292.47	3.35	happy_females	n/a	0	55
297.39	3.35	happy_males	n/a	0	56
303.8	3.35	angry_males	n/a	0	57
309.2	3.35	happy_males	n/a	1	58
315.12	3.35	scrambled	n/a	1	59
320.54	3.35	scrambled	2.7329	0	60
326.44	3.36	happy_females	n/a	1	61
333.35	3.35	happy_females	n/a	0	62
338.27	3.35	neutral_females	n/a	1	63
344.18	3.35	angry_males	n/a	1	64
348.1	3.35	angry_males	n/a	1	65
352.02	3.35	happy_males	n/a	0	66
358.44	3.35	scrambled	n/a	0	67
363.85	3.34	angry_males	n/a	1	68
370.25	3.35	neutral_females	n/a	0	69
375.17	3.35	happy_males	n/a	0	70
379.59	3.35	happy_males	n/a	0	71
386.49	3.35	happy_females	n/a	0	72
391.43	3.35	scrambled	n/a	0	73
397.34	3.35	angry_males	n/a	0	74
402.26	3.35	neutral_females	n/a	1	75
408.18	3.35	scrambled	n/a	1	76
413.1	3.35	angry_males	n/a	0	77
417.02	3.35	happy_females	n/a	1	78
423.92	3.35	happy_males	n/a	1	79
428.84	3.36	angry_females	n/a	0	80
433.76	3.36	neutral_females	2.1994	0	81
438.19	3.35	happy_males	n/a	1	82
444.09	3.35	angry_females	n/a	1	83
449.51	3.35	scrambled	n/a	1	84
453.93	3.35	angry_females	n/a	0	85
458.37	3.35	scrambled	1.3981	0	86
464.27	3.35	neutral_females	n/a	0	87
469.68	3.35	happy_females	n/a	0	88
474.1	3.35	angry_females	n/a	0	89
481.01	3.34	angry_males	n/a	1	90
485.92	3.35	neutral_females	n/a	0	91
489.85	3.36	angry_males	n/a	1	92
494.28	3.35	angry_females	n/a	0	93
498.2	3.35	happy_females	n/a	1	94
503.61	3.34	happy_males	3.265	0	95
507.55	3.34	scrambled	n/a	0	96
513.45	3.35	angry_females	n/a	0	97
519.85	3.35	happy_females	n/a	0	98
526.26	3.35	happy_males	n/a	1	99
530.68	3.35	happy_males	n/a	1	100
537.08	3.35	happy_females	n/a	0	101
543.99	3.35	neutral_females	n/a	0	102
547.91	3.35	angry_females	n/a	1	103
553.33	3.35	scrambled	n/a	0	104
559.73	3.37	happy_females	n/a	1	105
566.65	3.35	neutral_females	n/a	1	106
572.06	3.37	angry_males	n/a	0	107
576.0	3.35	angry_females	n/a	0	108
