onset	duration	trial_type	response_time	response_accuracy	trial_no
0.2296	3.3575	angry_males	n/a	1	1
5.6507	3.3563	happy_males	3.0399	1	2
12.561	3.353	happy_females	n/a	1	3
19.463	3.355	happy_females	n/a	0	4
23.376	3.346	angry_males	n/a	1	5
28.777	3.348	angry_males	n/a	1	6
34.219	3.362	scrambled	n/a	0	7
39.147	3.354	angry_females	n/a	0	8
44.084	3.355	scrambled	n/a	0	9
50.49	3.354	neutral_females	n/a	0	10
57.395	3.354	happy_males	n/a	1	11
62.801	3.352	happy_males	n/a	0	12
66.72	3.353	happy_males	n/a	0	13
71.662	3.348	scrambled	n/a	1	14
76.081	3.348	angry_males	n/a	1	15
82.482	3.353	neutral_females	n/a	1	16
86.9	3.356	happy_females	n/a	1	17
91.322	3.353	neutral_females	n/a	0	18
96.731	3.349	angry_males	n/a	1	19
102.13	3.35	happy_females	n/a	0	20
107.54	3.35	angry_males	n/a	1	21
112.46	3.35	angry_females	n/a	1	22
117.86	3.35	angry_females	n/a	1	23
122.78	3.35	neutral_females	n/a	1	24
128.69	3.35	angry_females	n/a	1	25
135.09	3.35	angry_females	n/a	0	26
140.99	3.36	happy_females	n/a	0	27
145.93	3.35	scrambled	n/a	1	28
150.86	3.35	angry_males	n/a	1	29
157.78	3.35	scrambled	n/a	1	30
163.68	3.35	angry_males	n/a	0	31
167.6	3.35	neutral_females	n/a	1	32
172.52	3.35	happy_males	n/a	1	33
176.44	3.35	happy_males	n/a	1	34
182.85	3.35	neutral_females	n/a	0	35
188.77	3.35	scrambled	n/a	0	36
192.69	3.35	neutral_females	n/a	0	37
199.59	3.35	angry_females	n/a	1	38
206.0	3.35	neutral_females	n/a	0	39
210.4	3.35	neutral_females	n/a	0	40
216.31	3.35	neutral_females	n/a	0	41
221.22	3.36	happy_females	n/a	1	42
227.13	3.35	happy_males	n/a	1	43
231.05	3.35	neutral_females	n/a	0	44
235.97	3.35	angry_females	n/a	0	45
239.89	3.35	neutral_females	n/a	0	46
246.8	3.35	neutral_females	1.8669	1	47
252.22	3.35	scrambled	n/a	1	48
258.63	3.34	angry_males	n/a	1	49
263.04	3.36	happy_males	n/a	1	50
269.95	3.35	angry_males	n/a	0	51
276.87	3.35	scrambled	n/a	0	52
280.81	3.35	scrambled	n/a	0	53
286.22	3.34	angry_males	n/a	0	54
291.13	3.35	happy_males	2.9673	0	55
297.53	3.36	happy_females	n/a	0	56
301.46	3.35	angry_females	n/a	0	57
307.38	3.35	scrambled	n/a	0	58
314.28	3.36	happy_females	n/a	0	59
321.21	3.35	scrambled	n/a	1	60
326.13	3.35	neutral_females	n/a	1	61
332.05	3.35	scrambled	n/a	0	62
337.96	3.34	angry_males	n/a	1	63
342.87	3.35	neutral_females	n/a	0	64
348.28	3.35	happy_males	n/a	1	65
352.7	3.35	angry_females	n/a	0	66
357.12	3.35	angry_males	n/a	0	67
363.52	3.35	happy_females	n/a	1	68
368.44	3.36	angry_females	n/a	0	69
372.37	3.34	angry_males	n/a	1	70
376.8	3.35	scrambled	n/a	0	71
382.71	3.35	happy_males	n/a	0	72
389.11	3.35	happy_females	n/a	1	73
393.55	3.35	scrambled	n/a	0	74
398.95	3.35	angry_females	n/a	0	75
403.87	3.35	happy_males	n/a	1	76
408.29	3.35	happy_females	n/a	0	77
415.2	3.35	neutral_females	n/a	1	78
420.6	3.35	neutral_females	n/a	1	79
425.02	3.35	neutral_females	n/a	1	80
430.93	3.35	angry_males	n/a	1	81
436.34	3.34	angry_males	n/a	1	82
442.74	3.35	happy_males	n/a	1	83
446.66	3.35	angry_males	n/a	0	84
452.56	3.35	neutral_females	n/a	1	85
458.97	3.35	angry_males	n/a	0	86
463.39	3.35	angry_females	n/a	1	87
469.79	3.35	angry_females	n/a	1	88
475.72	3.36	scrambled	n/a	0	89
479.65	3.35	angry_females	n/a	0	90
485.05	3.35	angry_females	n/a	1	91
489.47	3.35	happy_females	n/a	1	92
493.39	3.35	happy_males	n/a	0	93
499.82	3.35	scrambled	0.9968	0	94
506.72	3.35	neutral_females	n/a	1	95
511.62	3.36	angry_females	n/a	1	96
515.54	3.35	angry_females	n/a	0	97
519.46	3.35	happy_females	n/a	0	98
526.37	3.35	happy_females	n/a	1	99
533.3	3.36	scrambled	n/a	0	100
539.71	3.35	angry_females	n/a	0	101
546.14	3.35	scrambled	n/a	1	102
553.04	3.35	neutral_females	n/a	1	103
558.94	3.36	happy_females	n/a	0	104
563.36	3.36	angry_females	n/a	0	105
567.79	3.35	happy_males	n/a	1	106
572.21	3.35	happy_males	n/a	0	107
578.11	3.35	happy_males	n/a	0	108
