onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0583	3.361	neutral_females	n/a	1	1
6.9797	3.3623	neutral_females	n/a	0	2
11.408	3.354	neutral_females	n/a	0	3
15.831	3.351	angry_males	n/a	1	4
20.252	3.35	angry_males	n/a	0	5
25.172	3.351	angry_males	n/a	0	6
30.111	3.348	scrambled	n/a	0	7
37.016	3.349	angry_males	n/a	0	8
43.414	3.356	happy_females	n/a	1	9
48.822	3.353	angry_females	n/a	0	10
53.759	3.353	scrambled	n/a	1	11
60.164	3.353	neutral_females	n/a	1	12
65.089	3.348	angry_males	n/a	1	13
69.522	3.352	scrambled	n/a	1	14
74.442	3.353	happy_males	n/a	0	15
78.861	3.354	neutral_females	n/a	1	16
84.771	3.349	angry_males	n/a	1	17
89.702	3.355	scrambled	n/a	0	18
94.124	3.353	neutral_females	n/a	1	19
99.529	3.351	happy_males	n/a	0	20
104.45	3.35	angry_males	n/a	0	21
110.35	3.36	angry_females	n/a	1	22
115.27	3.36	happy_females	n/a	0	23
122.18	3.35	angry_males	n/a	0	24
126.11	3.36	scrambled	n/a	1	25
132.52	3.35	happy_females	n/a	0	26
138.93	3.35	angry_males	n/a	1	27
145.85	3.35	scrambled	n/a	1	28
149.77	3.35	neutral_females	n/a	1	29
154.71	3.35	scrambled	n/a	1	30
160.63	3.35	scrambled	n/a	1	31
167.03	3.35	happy_males	n/a	1	32
173.44	3.35	angry_males	n/a	1	33
177.36	3.35	angry_females	n/a	0	34
181.78	3.35	angry_females	n/a	0	35
187.18	3.35	angry_females	n/a	0	36
192.59	3.35	neutral_females	n/a	0	37
199.49	3.35	happy_males	n/a	0	38
204.43	3.35	scrambled	n/a	0	39
211.33	3.36	angry_females	n/a	1	40
216.74	3.35	neutral_females	n/a	1	41
222.14	3.35	neutral_females	n/a	0	42
228.54	3.36	happy_females	n/a	0	43
234.95	3.35	angry_females	n/a	1	44
238.89	3.35	scrambled	n/a	0	45
245.79	3.36	angry_females	n/a	1	46
249.71	3.36	angry_females	n/a	1	47
256.12	3.35	happy_females	1.0031	0	48
261.04	3.35	happy_males	n/a	1	49
267.45	3.35	angry_males	n/a	0	50
271.38	3.35	scrambled	n/a	0	51
275.8	3.35	happy_females	n/a	1	52
280.22	3.35	angry_females	1.2335	0	53
284.14	3.35	happy_males	n/a	1	54
289.55	3.35	neutral_females	n/a	0	55
295.95	3.35	happy_males	n/a	0	56
301.86	3.35	angry_females	n/a	0	57
305.78	3.35	neutral_females	n/a	1	58
311.18	3.35	angry_males	n/a	1	59
315.1	3.35	angry_females	n/a	0	60
322.01	3.35	happy_males	n/a	0	61
325.93	3.35	happy_males	n/a	0	62
330.35	3.35	happy_males	1.4662	1	63
336.27	3.35	scrambled	n/a	1	64
342.19	3.35	scrambled	n/a	1	65
347.11	3.35	angry_females	n/a	1	66
352.51	3.35	happy_females	n/a	1	67
358.92	3.35	happy_females	n/a	0	68
364.34	3.35	scrambled	n/a	1	69
370.24	3.36	neutral_females	n/a	1	70
374.18	3.35	scrambled	n/a	0	71
380.58	3.36	happy_females	n/a	0	72
386.99	3.35	angry_males	n/a	0	73
392.9	3.35	happy_males	n/a	1	74
399.8	3.35	angry_males	n/a	1	75
403.72	3.35	happy_males	n/a	1	76
410.63	3.35	angry_females	n/a	0	77
416.03	3.35	happy_females	n/a	1	78
421.44	3.35	angry_males	n/a	1	79
426.84	3.35	happy_males	n/a	0	80
431.76	3.35	neutral_females	n/a	1	81
437.67	3.35	happy_males	n/a	0	82
442.08	3.36	angry_females	n/a	0	83
447.99	3.35	neutral_females	n/a	0	84
453.39	3.35	happy_females	n/a	0	85
458.31	3.35	happy_females	n/a	0	86
464.22	3.35	happy_males	n/a	0	87
471.12	3.35	neutral_females	n/a	0	88
478.05	3.35	scrambled	n/a	1	89
483.45	3.35	angry_males	n/a	1	90
489.36	3.34	happy_males	n/a	0	91
495.26	3.35	neutral_females	n/a	0	92
502.17	3.35	happy_males	n/a	1	93
508.07	3.35	happy_males	n/a	0	94
514.98	3.35	angry_males	2.0956	1	95
518.9	3.35	happy_males	n/a	1	96
523.32	3.35	angry_females	1.2987	1	97
527.23	3.36	angry_females	n/a	1	98
531.65	3.36	angry_females	n/a	1	99
535.6	3.34	scrambled	n/a	1	100
540.01	3.35	happy_females	n/a	1	101
545.92	3.35	happy_females	n/a	1	102
550.82	3.35	angry_females	n/a	0	103
555.76	3.35	scrambled	n/a	0	104
559.68	3.35	angry_females	n/a	0	105
566.59	3.34	angry_males	n/a	1	106
571.0	3.35	happy_females	n/a	0	107
575.42	3.35	neutral_females	n/a	0	108
